"Decision by","Case number/name",Jurisdiction,"Date of decision","Relevant GDPR articles","Relevant EU laws","Relevant national/other laws","Type of decision & outcome",Fine,Parties,Contributor,Summary
"DPA: ANSPDCP (Romania)",31.01.2024,Romania,,"58(1)(a), 58(1)(e), 58(2)(d)",,"Law 190/2018","Investigation → Violation Found","10000 RON",,maxinescu,"The Romanian DPA sanctioned the local municipality of 1st district, Bucharest, €2,010.38 for the failure to comply with the requests of the DPA to provide information and obtain access to personal data and information necessary for performing its tasks, pursuant to Article 58(1)(a) and (e) GDPR."
"DPA: Garante per la protezione dei dati personali (Italy)",9973790,Italy,,"5(1)(f), 9(1), 32",,,"Complaint → Upheld",,"Medical Service s.r.l.
C.B. Sistemi s.r.l.",carloc,"The Italian DPA reprimanded a processor for having breached Article 5(1)(f) GDPR and Article 32 GDPR since, following a software update, the platform of a healthcare provider suffered a vulnerability and allowed logged-in patients to access other reports."
"DPA: ANSPDCP (Romania)",N/A,Romania,,"5, 6(1), 9(2)",,"Law 46/2023 regarding patients' law","Investigation → Violation Found","2000 EUR",,"Silvia Axinescu","The Romanian DPA found a physician to have breached Article 5 GDPR, Article 6(1) GDPR and Article 9 GDPR for recording a patient on his personal telephone, without her consent, and posting the video on his Facebook page. The DPA issued a fine of 9919.2 RON (equivalent to €2000)."
"DPA: AEPD (Spain)",PS-00117-2022,Spain,,"4(11), 6, 9, 9, 57(1), 58(1), 83(1), 83(2), 83(5)",,,"Complaint → Upheld","2000 EUR","Data subject
Data controller",isabela.maria.rosal,"Spanish DPA fines controller for continuous sending of emails containing personal data for members and non-members of a Personnel Board. The DPA ruled that there is no legal basis for this processing, especially after the data subject's opposition."
"DPA: HDPA (Greece)",2/2024,Greece,29.01.2024,"31, 37, 38, 39",,,"Investigation → Violation Found","25000 EUR","the Ministry of Rural Development and Food","Evangelia Tsimpida","The HDPA, following a questionnaire sent to public sector bodies on the designation and position of the Data Protection Officer (DPO), found that the Ministry of Rural Development and Food violated Articles 31 and 37 GDPR. The authority proceeded to impose an administrative fine."
"DPA: ICO (UK)","Ministry of Defence","United Kingdom",07.12.2023,5(1)(f),,,"Investigation → Violation Found","350000 GBP","Secretary of State for Defence",im,"The DPA fined UK Ministry of Defence €409,080 (GBP 350,000) for disclosure of 265 unique email addresses of individuals seeking relocation from Afghanistan following the Taliban's ascent to power in the summer of 2021."
"DPA: HDPA (Greece)",1/2024,Greece,29.01.2024,"31, 37, 38, 39",,4624/2019,"Investigation → Violation Found","5000 EUR","Δήμος Αθηναίων - Municipality of Athens",inder-kahlon,"The DPA fined a controller €5,000 after its DPO failed to reply to questionnaire sent by the DPA."
"DPA: Persónuvernd (Island)",2022040716,Iceland,22.01.2024,5(1)(a),,"Act on Data Protection and the Processing of Personal Data","Complaint → Upheld",,"University of Iceland",Gauravpathak,"The Icelandic DPA held that the University examining a student’s use of a learning website in a course supervision system violated the transparency requirement in Art. 5(1)(a) GDPR. The lack of information regarding peer assessment violated Art. 12-13 GDPR."
"DPA: Tietosuojavaltuutetun toimisto (Finland)",1011/161/22,Finland,11.08.2023,"5(1)(c), 58(2)(b), 58(2)(d)",,,"Investigation → Violation Found",,,fred,"The Finnish DPA found a school to have breached Article 5(1)(c) GDPR for processing the bank account numbers of all its students for the purpose of awarding possible scholarships."
"DPA: HDPA (Greece)",6/2024,Greece,10.01.2024,"4(7), 5(1), 5(2), 12(1), 13",,,"Complaint → Upheld","2.000 EUR",,Nikolaos.Konstantis,"The Authority accepted the complaint of a former employee in the position of employee - salesperson, according to whom his personal data had been illegally processed through the geolocation system operating in a vehicle that had been granted to him by the complained former employer company."
"DPA: Garante per la protezione dei dati personali (Italy)",9983210,Italy,11.01.2024,"5(1), 6, 9, 12, 13",,,"Complaint → Upheld","8000 EUR","David S.r.l.",im,"The Italian DPA imposed a fine in the amount of €8,000 on a private health facility for unlawful processing of sensitive data on their Instagram account."
"DPA: CNIL (France)","SAN-2024-002 du 31 janvier 2024",France,31.01.2024,"5(1)(e), 13, 28, 32",,"Article D.213-1, Consumer Code
Article D.213-2, Consumer Code
Article L. 34-5, Postal and Electronic Communications Code
Article L.213-1, Consumer Code","Investigation → Violation Found","100000 EUR","De Particulier à Particulier - Editions Neressis",r_e_,"The DPA imposed a €100,000 fine on real estate service provider, Société PAP, for, among other things, having retention periods of 10 years for contracts concluded electronically that were less than €120."
"Court: BVwG","W258 2243523-1/9E",Austria,11.01.2024,"6(1)(f), 17",,,,,,co,"An Austrian court reversed a decision by the Austrian DPA, holding that a controller did not fail to comply with a data subject’s deletion request under Article 17 GDPR."
"Court: PVN",PVN-2023-23,Norway,06.02.2024,"6(1)(c), 6(1)(e), 9(2)(b), 57(1)(f), 77",,,,,"Datatilsynet (DPA)
Data subject
NAV (controller)","Maximilien Hjortland","In Norway, The Privacy Appeals Board upheld a decision by the DPA not to reconsider a rejected case where the Labour and Welfare Administration (NAV) unlawfully and repeatedly read the data subject's case files."
"DPA: Tietosuojavaltuutetun toimisto (Finland)",TSV/35/2022,Finland,22.12.2023,"5(1)(a), 5(1)(b), 32(4), 58(2)(b)",,"§ 16(3) Act on the Openness of Government Activities","Investigation → Violation Found",,,fred,"The Finnish DPA found an educational institution to have breached Article 5(1)(a) GDPR and Article 5(1)(b) GDPR for processing the personal data of its students for marketing purposes."
"DPA: AP (The Netherlands)","Decision of 11 December 2023 imposing administrative fine on Uber",Netherlands,11.12.2023,"12(1), 12(2), 13(1)(f), 13(2)(a), 13(2)(b), 15(1)(d), 15(2), 56, 60, 83",,,"Complaint → Upheld","10000000 EUR","Uber Technologies Inc. and Uber B.V.
Ligue des droits de l'Homme (LDH)",co,"The Dutch DPA, in the context of an Article 60 GDPR decision, issued a fine in the amount of €10,000,000 on Uber for a lack of transparency in its privacy policy and for failing to allow data subjects to exercise their rights in an accessible manner, in violation of several GDPR provisions."
